"","stock_name","Stock.ID","BY","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2"
"92","L.Stuart",2,1970,14978,"8027","",NA,0,0,318,0,70520,0,0,0,0,0,0,70520,70838,70838,"1",8027,114306,179,897,2.17758472072972,0,1,0
"93","L.Stuart",2,1971,1535,"725","",NA,0,0,1243,0,65527,0,0,0,0,0,0,65527,66770,66770,"1",725,8027,114306,179,4.52283750199724,0,1,0
"94","L.Stuart",2,1972,7341,"3411","",NA,0,0,0,0,16180,0,0,2586,0,0,0,18766,18766,18766,"0.862197591",3411,725,8027,114306,1.70504121843135,0,1,0
"95","L.Stuart",2,1973,214230,"116706","",NA,0,0,290,0,658158,0,0,5807,1843,0,0,665808,666098,666098,"0.991254057",116706,3411,725,8027,1.74177885500985,0,0.997233139868308,0.00276686013169233
"96","L.Stuart",2,1974,14190,"7371","",NA,0,0,855,0,48593,0,0,1268,0,0,0,49861,50716,50716,"0.974569303",7371,116706,3411,725,1.92868806045855,0,1,0
"97","L.Stuart",2,1975,14229,"5679","",NA,0,0,541,0,214097,0,0,478,0,0,0,214575,215116,215116,"0.997772341",5679,7371,116706,3411,3.63440225661947,0,1,0
"98","L.Stuart",2,1976,2898,"1674","",NA,0,0,0,0,3339,0,0,0,0,0,0,3339,3339,3339,"1",1674,5679,7371,116706,0.690455388894234,0,1,0
"99","L.Stuart",2,1977,146459,"75890","",NA,0,0,104,0,1313861,0,0,43776,0,0,0,1357637,1357741,1357741,"0.96775574",75890,1674,5679,7371,2.88429264486365,0,1,0
"100","L.Stuart",2,1978,12738,"7115","",NA,0,0,699,0,69820,0,0,8928,0,0,0,78748,79447,79447,"0.886625692",7115,75890,1674,5679,2.41288490113077,0,1,0
"101","L.Stuart",2,1979,31918,"16711","",NA,0,0,0,0,6854,0,0,0,0,0,0,6854,6854,6854,"1",16711,7115,75890,1674,-0.891234761768829,0,1,0
"102","L.Stuart",2,1980,946,"286","",NA,0,0,0,0,21440,0,0,0,0,0,0,21440,21440,21440,"1",286,16711,7115,75890,4.31702180436489,0,1,0
"103","L.Stuart",2,1981,249494,"120124","",NA,0,0,0,0,1978010,0,0,55891,0,0,0,2033901,2033901,2033901,"0.972520295",120124,286,16711,7115,2.82918636026359,0,1,0
"104","L.Stuart",2,1982,16758,"8681","",NA,0,0,193,0,52097,0,0,8699,0,0,0,60796,60989,60989,"0.856914929",8681,120124,286,16711,1.94955679063376,0,1,0
"105","L.Stuart",2,1983,2246,"1451","",NA,0,0,0,0,14195,0,0,3717,32,0,0,17944,17944,17944,"0.792485485",1451,8681,120124,286,2.51500282331586,0,0.998216674097191,0.00178332590280874
"106","L.Stuart",2,1984,1228,"672","",NA,0,0,222,0,14522,0,0,0,0,0,0,14522,14744,14744,"1",672,1451,8681,120124,3.08833315882651,0,1,0
"107","L.Stuart",2,1985,274621,"159101","",NA,0,0,7755,0,3367086,0,0,132788,0,0,0,3499874,3507629,3507629,"0.962059206",159101,672,1451,8681,3.09315636895334,0,1,0
"108","L.Stuart",2,1986,28715,"15044","",NA,0,0,264,0,725126,0,0,91171,0,0,0,816297,816561,816561,"0.888311485",15044,159101,672,1451,3.99412237813615,0,1,0
"109","L.Stuart",2,1987,6472,"2393","",NA,0,0,984,0,283932,0,0,95155,0,0,0,379087,380071,380071,"0.748989018",2393,15044,159101,672,5.06781026844665,0,1,0
"110","L.Stuart",2,1988,7117,"3638","",NA,0,0,1552,0,207234,0,0,0,0,0,0,207234,208786,208786,"1",3638,2393,15044,159101,4.04987572385618,0,1,0
"111","L.Stuart",2,1989,575697,"327096","",NA,0,0,20256,0,5162734,0,0,144134,0,0,0,5306868,5327124,5327124,"0.972840101",327096,3638,2393,15044,2.79031307849496,0,1,0
"112","L.Stuart",2,1990,189079,"111747","",NA,0,0,440,0,372685,44,0,16654,0,0,0,389339,389823,389823,"0.957224938",111747,327096,3638,2393,1.24945540245477,0,0.999887128260775,0.000112871739225238
"113","L.Stuart",2,1991,76860,"40200","",NA,0,0,354,0,91441,0,0,17786,0,0,0,109227,109581,109581,"0.837164804",40200,111747,327096,3638,1.00279700619653,0,1,0
"114","L.Stuart",2,1992,19513,"12422","",NA,0,0,0,0,128970,0,0,6429,0,0,0,135399,135399,135399,"0.952518113",12422,40200,111747,327096,2.38875688078942,0,1,0
"115","L.Stuart",2,1993,1363826,"744565","",NA,0,0,4082,0,3249145,0,0,511029,0,0,0,3760174,3764256,3764256,"0.864094321",744565,12422,40200,111747,1.62050535591447,0,1,0
"116","L.Stuart",2,1994,76462,"40717","",NA,0,0,0,0,108011,0,0,7429,0,0,0,115440,115440,115440,"0.935646223",40717,744565,12422,40200,1.04210521880773,0,1,0
"117","L.Stuart",2,1995,34362,"17181","",NA,0,0,1366,0,92713,0,0,39375,0,0,0,132088,133454,133454,"0.701903277",17181,40717,744565,12422,2.04995272709445,0,1,0
"118","L.Stuart",2,1996,62991,"27297","",NA,0,0,607,0,810002,0,0,212391,0,0,0,1022393,1023000,1023000,"0.792260902",27297,17181,40717,744565,3.62371795990896,0,1,0
"119","L.Stuart",2,1997,907652,"415149","",NA,0,0,81,0,351715,0,0,79099,0,0,0,430814,430895,430895,"0.816396403",415149,27297,17181,40717,0.0372269489969169,0,1,0
"120","L.Stuart",2,1998,138397,"67836","",NA,0,0,312,0,264390,0,0,12560,0,0,0,276950,277262,277262,"0.954648854",67836,415149,27297,17181,1.40786988004892,0,1,0
"121","L.Stuart",2,1999,61574,"33801","",NA,0,0,23,0,117520,0,0,16079,0,0,0,133599,133622,133622,"0.879647303",33801,67836,415149,27297,1.37452453035436,0,1,0
"122","L.Stuart",2,2000,454397,"226267","",NA,0,0,1827,0,868657,0,0,42459,879,0,0,911995,913822,913822,"0.953398909",226267,33801,67836,415149,1.39592008625051,0,0.999038105889331,0.000961894110669255
"123","L.Stuart",2,2001,351569,"179540","",NA,0,0,29,0,415504,0,0,89810,0,0,0,505314,505343,505343,"0.822268926",179540,226267,33801,67836,1.0348393823103,0,1,0
"124","L.Stuart",2,2002,34498,"17820","",NA,0,0,20,0,121483,0,0,4449,0,0,0,125932,125952,125952,"0.96467141",17820,179540,226267,33801,1.95557945994707,0,1,0
"125","L.Stuart",2,2003,36647,"19212","",NA,0,0,11,0,15962,0,0,5810,0,0,0,21772,21783,21783,"0.733143487",19212,17820,179540,226267,0.125594765263642,0,1,0
"126","L.Stuart",2,2004,83418,"51370","",NA,0,0,220,0,263681,0,0,19017,0,0,0,282698,282918,282918,"0.932730334",51370,19212,17820,179540,1.70610275852747,0,1,0
"127","L.Stuart",2,2005,293124,"164657","",NA,0,0,89,0,104604,0,0,14988,0,0,0,119592,119681,119681,"0.874673891",164657,51370,19212,17820,-0.319034652536965,0,1,0
"128","L.Stuart",2,2006,27504,"14283","",NA,0,0,37,0,169398,0,0,5288,0,0,0,174685,174722,174723,"0.969728541",14283,164657,51370,19212,2.50413184385831,0,1,0
"129","L.Stuart",2,2007,8487,"4144","",NA,0,0,48,0,5173,0,0,8547,0,0,0,13720,13768,13768,"0.377040816",4144,14283,164657,51370,1.20068555395206,0,1,0
"130","L.Stuart",2,2008,146569,"57879","",NA,0,0,326,0,183527,0,0,6719,0,0,0,190246,190572,190572,"0.964682569",57879,4144,14283,164657,1.19167545142756,0,1,0
"131","L.Stuart",2,2009,86964,"47226","",NA,0,0,40,0,218405,0,0,28780,0,0,0,247185,247225,247225,"0.883568987",47226,57879,4144,14283,1.65535426476769,0,1,0
"132","L.Stuart",2,2010,95026,"54908","",NA,0,0,839,0,284998,0,0,34954,0,0,0,319952,320791,320791,"0.890752363",54908,47226,57879,4144,1.76513076334656,0,1,0
"133","L.Stuart",2,2011,4582,"940","",NA,0,0,0,0,3688,0,0,255,0,0,0,3943,3943,3943,"0.93532843",940,54908,47226,57879,1.43381725861358,0,1,0
