"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Chilko]","-0.166907036012996","-0.00907806868276858","0.0247915371077799","0.126975761896641","0.48159455007551","my_arc"
"b[(Intercept) Stock:E.Stuart]","-0.314299121912199","-0.051385049447966","0.000176685341114506","0.0487320197764828","0.306506580063839","my_arc"
"b[(Intercept) Stock:Fennell]","-0.530748651939563","-0.141654688447818","-0.0278705188405186","0.00792846044869852","0.147417446210905","my_arc"
"b[(Intercept) Stock:Gates]","-0.134273223504682","-0.00313843452435952","0.0381417297172577","0.1667924017748","0.576252147159775","my_arc"
"b[(Intercept) Stock:Harrison]","-0.142769253842404","-0.00704490128474034","0.0319830457186823","0.152497267953376","0.587459248094775","my_arc"
"b[(Intercept) Stock:L.Shuswap]","-0.18856627862166","-0.0165681674905054","0.0163586237251003","0.106300780520926","0.446972051919685","my_arc"
"b[(Intercept) Stock:L.Stuart]","-0.427930659441879","-0.0842349619700126","-0.00814891520501344","0.0268572585215543","0.229209193804529","my_arc"
"b[(Intercept) Stock:Nadina]","-0.193537826222314","-0.0189206967277874","0.0145759087446976","0.0988568647334225","0.444735782579635","my_arc"
"b[(Intercept) Stock:Pitt]","-0.290257791495205","-0.0518957127473018","2.63108665745523e-05","0.0511296310783564","0.30390314238843","my_arc"
"b[(Intercept) Stock:Portage]","-0.433136842279612","-0.0905434481269933","-0.0103036400069723","0.0230893652115948","0.232483759331102","my_arc"
"b[(Intercept) Stock:Quesnel]","-0.453791881584565","-0.102019755812622","-0.0149667171482024","0.0167368023603456","0.196064436541289","my_arc"
"b[(Intercept) Stock:Raft]","-0.394735593535795","-0.0744793545628293","-0.00534702973258374","0.0345257176562599","0.265077558303483","my_arc"
"b[(Intercept) Stock:Scotch]","-0.290524061552332","-0.0464739424844266","0.000990002015581009","0.0583611213248121","0.321020554305749","my_arc"
"b[(Intercept) Stock:Seymour]","-0.417785901286242","-0.0827189654697788","-0.00823344026189501","0.0288592019185203","0.233114911545657","my_arc"
