stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits		Return
Stellako	3	1952	42153	20418.1743			0	0	23	0	93984	0		16694	0	0	0	110678	110701		0.849166049
Stellako	3	1953	82262	39208.6355			0	0	30	0	156192	0		18023	0	0	0	174215	174245		0.89654737
Stellako	3	1954	144101	73492.1992			0	0	3311	0	1140205	0		67783	0	0	0	1207988	1211299		0.943887688
Stellako	3	1955	51948	30077.7593			0	0	28	0	602677	0		27091	0	0	0	629768	629796		0.956982571
Stellako	3	1956	39770	23004.244			0	0	92	0	220400	0		26243	0	0	0	246643	246735		0.893599251
Stellako	3	1957	98065	47197.0544			0	0	8	0	143835	0		8000	0	0	0	151835	151843		0.947311226
Stellako	3	1958	113079	62010.7486			0	0	1156	0	323089	0		16215	0	0	0	339304	340460		0.952210997
Stellako	3	1959	80719	42500.3812			0	0	17	0	514918	0		26485	0	0	0	541403	541420		0.951080803
Stellako	3	1960	40607	23656.518			0	0	19	0	143340	0		21155	0	0	0	164495	164514		0.871394267
Stellako	3	1961	83217	27977.553			0	0	288	0	137046	0		10068	0	0	0	147114	147402		0.931563277
Stellako	3	1962	126628	45705.4105			0	0	100	0	572029	0		17376	0	0	0	589405	589505		0.970519422
Stellako	3	1963	147128	45012.632			0	0	977	0	713487	0		13462	0	0	0	726949	727926		0.981481507
Stellako	3	1964	32676	17181.442			0	0	194	0	170674	0		6969	0	0	0	177643	177837		0.960769633
Stellako	3	1965	54595	27863.3964			0	0	179	0	231100	0		12372	0	0	0	243472	243651		0.949185122
Stellako	3	1966	103551	52505.5007			0	0	833	0	336316	0		22757	0	0	0	359073	359906		0.936622915
Stellako	3	1967	100910	37132.8865			0	0	288	0	531886	0		18350	0	0	0	550236	550524		0.966650674
Stellako	3	1968	32818	14741.1924			0	0	85	0	125900	0		3837	0	0	0	129737	129822		0.970424782
Stellako	3	1969	85780	45507.9759			0	0	131	0	235729	0		17385	0	0	0	253114	253245		0.931315534
Stellako	3	1970	49893	28904.3034			0	0	1170	0	228808	0		4130	0	0	0	232938	234108		0.98226996
Stellako	3	1971	55473	28681.709			0	0	496	0	508759	12		0	0	0	0	508759	509267		1
Stellako	3	1972	40300	22163.455			0	0	204	0	711226	0		44784	0	0	0	756010	756214		0.940762688
Stellako	3	1973	50197	26149.3085			0	0	11	0	75813	0		10077	0	0	0	85890	85901		0.882675515
Stellako	3	1974	45298	25790.4879			0	0	1823	0	281752	13		19534	0	0	0	301286	303122		0.935164594
Stellako	3	1975	191879	77106.9648			0	0	3852	0	1832708	0		64645	2919	0	0	1900272	1904124		0.96444509
Stellako	3	1976	152515	66196.674			0	0	150	0	216701	0		27506	0	0	0	244207	244357		0.887366046
Stellako	3	1977	41801	20979.2249			0	0	74	0	209138	0		56488	0	0	0	265626	265700		0.787340095
Stellako	3	1978	63203	34054.827			0	0	860	0	388505	0		48040	0	0	0	436545	437405		0.889954071
Stellako	3	1979	347611	173854.2776			0	0	31	0	478737	0		145156	0	0	0	623893	623924		0.76733831
Stellako	3	1980	75357	30079.3609			0	0	207	0	535944	0		219255	0	0	0	755199	755406		0.70967255
Stellako	3	1981	41758	23392.5347			0	0	28	0	234136	0		51734	0	0	0	285870	285898		0.819029629
Stellako	3	1982	71784	36311.3959			0	0	1900	0	309369	0		46504	0	0	0	355873	357773		0.869324169
Stellako	3	1983	149954	77326.3071			0	0	1129	0	1097744	0		158607	0	0	0	1256351	1257480		0.873755821
Stellako	3	1984	68851	36519.111			0	0	170	0	744589	0		266430	0	0	0	1011019	1011189		0.736473795
Stellako	3	1985	56121	29699.0905			0	0	87	0	97659	0		30996	0	0	0	128655	128742		0.7590766
Stellako	3	1986	80953	46660.967			0	0	23	0	445398	0		116424	0	0	0	561822	561845		0.792774224
Stellako	3	1987	249626	113820.8482			0	0	14	0	353471	0		82191	0	0	0	435662	435676		0.811342279
Stellako	3	1988	377062	205055.2582			0	0	158	0	566227	0		425114	0	0	0	991341	991499		0.571172785
Stellako	3	1989	48197	18632.8627			0	0	28	0	127212	0		95047	0	0	0	222259	222287		0.572359275
Stellako	3	1990	99975	59940.188			0	0	1145	0	861027	0		89664	0	0	0	950691	951836		0.905685444
Stellako	3	1991	156005	87787.9862			0	0	259	0	299039	0		37271	0	0	0	336310	336569		0.889176652
Stellako	3	1992	105713	57545.4678			0	0	275	0	734393	0		133793	0	0	0	868186	868461		0.845893622
Stellako	3	1993	101038	47704.4047			0	0	13	0	68158	0		241673	0	0	0	309831	309844		0.219984443
Stellako	3	1994	138944	64703.9704			0	0	127	0	593409	0		88649	704	0	0	682762	682889		0.869130092
Stellako	3	1995	146786	49623.4276			0	0	75	0	127344	0		56540	0	0	0	183884	183959		0.692523547
Stellako	3	1996	370861	185763.9731			0	0	16	0	635499	0		176479	0	0	0	811978	811994		0.782655441
Stellako	3	1997	64909	25944.794			0	0	0	0	68515	0		56658	0	0	0	125173	125173		0.54736245
Stellako	3	1998	189421	98993.1388			0	0	73	0	504421	0		133503	0	0	0	637924	637997		0.790722719
Stellako	3	1999	148493	71260.7784			0	0	0	0	143988	0		30474	0	0	0	174462	174462		0.825325859
Stellako	3	2000	570985	262543.0057			0	0	0	0	647582	0		70089	0	0	0	717671	717671		0.902338258
Stellako	3	2001	206346	79521.5073			0				203410			83718				287128	287128		0.70842969
Stellako	3	2002	324636	178699.1888			0		47		224262			24066				248328	248375		0.903087852
Stellako	3	2003	81256	45556.1954			0		5		34522			14605				49127	49132		0.702709304
Stellako	3	2004	109341	67627.803			0	332	153	664	213103			32646.7427	110.6669244			246856.4096	247009.4096		0.863267032
