"","2.5","25","50","75","97.5","agent"
"b.prev_std.Stock.Nadina.","-0.986076572505462","-0.404561265379167","-0.145646979749476","0.126172562754696","0.674593314556408","fa_mar"
"b.prev_std.Stock.Pitt.","-1.37659075149816","-0.719013521939376","-0.411974784942237","-0.126635835972393","0.450548556496137","fa_mar"
"b.prev_std.Stock.Portage.","-0.870201340670785","-0.290292211323578","-0.0194294634837898","0.273997681173458","0.856311935363042","fa_mar"
"b.prev_std.Stock.Quesnel.","-0.954753461861252","-0.330039465761542","-0.0675915035605793","0.210002925173865","0.742842614717188","fa_mar"
"b.prev_std.Stock.Raft.","-0.998342720581514","-0.412474551320343","-0.172724554194393","0.0822925793011486","0.657436678261272","fa_mar"
"b.prev_std.Stock.Scotch.","-0.976855923693436","-0.412588703159303","-0.144920436191626","0.105165818888397","0.673268008871832","fa_mar"
"b.prev_std.Stock.Seymour.","-0.93479797083631","-0.310250636754284","-0.0526271259303073","0.203422013558446","0.794396378610965","fa_mar"
"b.prev_std.Stock.Stellako.","-1.00063250387533","-0.407551532422733","-0.136531531311496","0.124204255402221","0.673700740231192","fa_mar"
"b.prev_std.Stock.Weaver.","-1.02681783549893","-0.413143054942356","-0.142556283356714","0.122675528673989","0.700386882070087","fa_mar"
"prev_std","-1.00121662241447","-0.542163559732823","-0.335061040426429","-0.113561654676485","0.398157018363235","fl_psy"
"b.prev_std.Stock.Birkenhead.","-1.06860448453214","-0.576117894964763","-0.350133886477512","-0.119738146596091","0.410829487908582","fl_psy"
"b.prev_std.Stock.Bowron.","-1.00290974989874","-0.551602426162554","-0.334449138552717","-0.104812568252383","0.427673792814695","fl_psy"
"b.prev_std.Stock.Chilko.","-1.00704204121287","-0.547866078170472","-0.324929274065522","-0.0922615743568546","0.431622855592066","fl_psy"
"b.prev_std.Stock.E.Stuart.","-1.00023314503732","-0.519650692456064","-0.29201581728845","-0.0622738426853685","0.498949563098112","fl_psy"
"b.prev_std.Stock.Fennell.","-1.01837652173166","-0.523045546981602","-0.300115523603486","-0.0778751743818123","0.443559019636667","fl_psy"
"b.prev_std.Stock.Gates.","-1.07619319389103","-0.594836743525681","-0.36407848454199","-0.119848437262943","0.413773848486679","fl_psy"
"b.prev_std.Stock.Harrison.","-1.0708553463373","-0.595987119117775","-0.360722700895644","-0.130173082698492","0.400987163900011","fl_psy"
"b.prev_std.Stock.L.Shuswap.","-1.09140643475869","-0.59664846933481","-0.365039364316802","-0.139421078607638","0.393675607855287","fl_psy"
"b.prev_std.Stock.L.Stuart.","-0.980252662935045","-0.505401612347141","-0.281043267551969","-0.0442597204998196","0.494538692975252","fl_psy"
"b.prev_std.Stock.Nadina.","-0.975573276167574","-0.511797972832754","-0.285070780235158","-0.0525553963149136","0.488097158388482","fl_psy"
"b.prev_std.Stock.Pitt.","-1.16254861957777","-0.644661871510974","-0.41427044120732","-0.170000764788029","0.364571737101528","fl_psy"
"b.prev_std.Stock.Portage.","-0.999105566463928","-0.542984435571277","-0.322771361105556","-0.0890387093248457","0.432749295170614","fl_psy"
"b.prev_std.Stock.Quesnel.","-1.01769684237849","-0.545322084102206","-0.322928642656075","-0.0884310768752998","0.452262537708397","fl_psy"
