"","V1","V2","V3"
"b[(Intercept) Stock:Seymour]","0.999609099381422","fl_psy","Rhat"
"b[load_std Stock:Seymour]","0.999487368107908","fl_psy","Rhat"
"b[(Intercept) Stock:Stellako]","1.00018076731692","fl_psy","Rhat"
"b[load_std Stock:Stellako]","1.00016707137013","fl_psy","Rhat"
"b[(Intercept) Stock:Weaver]","1.00034721908691","fl_psy","Rhat"
"b[load_std Stock:Weaver]","0.999913127717001","fl_psy","Rhat"
"b[(Intercept) Year:2009]","1.00245449733793","fl_psy","Rhat"
"b[(Intercept) Year:2010]","1.00350002238202","fl_psy","Rhat"
"b[(Intercept) Year:2011]","1.00252845936585","fl_psy","Rhat"
"b[(Intercept) Year:2012]","1.00121677068995","fl_psy","Rhat"
"b[(Intercept) Year:2013]","1.00005062259566","fl_psy","Rhat"
"b[(Intercept) Year:2014]","1.00328040917297","fl_psy","Rhat"
"b[(Intercept) Year:2015]","1.00004717629448","fl_psy","Rhat"
"b[(Intercept) Year:2016]","1.00292756060627","fl_psy","Rhat"
"sigma","1.00019266439281","fl_psy","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00183239543781","fl_psy","Rhat"
"Sigma[Stock:load_std,(Intercept)]","0.999425224315355","fl_psy","Rhat"
"Sigma[Stock:load_std,load_std]","1.00005202394065","fl_psy","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.0018295348276","fl_psy","Rhat"
"mean_PPD","0.999496317127471","fl_psy","Rhat"
"log-posterior","1.00059030767237","fl_psy","Rhat"
"load_std","1.00208190341472","ic_hof","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999597381312843","ic_hof","Rhat"
"b[load_std Stock:Birkenhead]","1.00039255102587","ic_hof","Rhat"
"b[(Intercept) Stock:Bowron]","0.999891061572941","ic_hof","Rhat"
"b[load_std Stock:Bowron]","0.999931617767864","ic_hof","Rhat"
"b[(Intercept) Stock:Chilko]","1.00013828069742","ic_hof","Rhat"
"b[load_std Stock:Chilko]","0.999962021192454","ic_hof","Rhat"
