"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1971,12,"Portage","281","155","",NA,0,0,2050,0,15812,0,0,0,181,0,0,15993,18043,NA,"0.99",155,2139,491,50,4.63648128857162,0,0.989968408801197,0.0100315911988029,-0.273999692887752,228.2673373,-0.562354625943049,-0.780347874178517
1972,12,"Portage","190","98","",NA,0,0,2127,0,13156,0,0,0,0,0,0,13156,15283,NA,"1",98,155,2139,491,4.89966572863838,0,1,0,-0.467030653629713,199.0080226,-0.859711363296465,-0.992444259881582
1973,12,"Portage","3963","1688","",NA,0,0,10591,0,80696,0,0,0,0,0,0,80696,91287,NA,"1",1688,98,155,2139,3.86714461157877,0,1,0,-0.620765507919166,279.1204321,-1.09653396684825,-0.411721413870636
1974,12,"Portage","8475","4843","",NA,0,0,1645,0,40703,0,0,263,0,0,0,40966,42611,NA,"0.99",4843,1688,98,155,2.13520809095737,0,1,0,-0.737391872763362,234.0968415,-1.27619237608043,-0.738090672192141
1975,12,"Portage","3175","1631","",NA,0,0,810,0,14691,17,0,235,0,0,0,14926,15753,NA,"0.98",1631,4843,1688,98,2.21391133507032,0,0.99892084047483,0.00107915952516981,-0.226763008028444,319.9023766,-0.489588337886638,-0.116099212220336
1976,12,"Portage","1042","753","",NA,0,0,118,0,7097,0,0,0,375,0,0,7472,7590,NA,"0.95",753,1631,4843,1688,2.29485275210879,0,0.950592885375494,0.0494071146245059,0.407560794393272,244.4852059,0.487562972912034,-0.662786976080407
1977,12,"Portage","7610","3923","",NA,0,0,768,0,38060,0,0,1161,0,0,0,39221,39989,NA,"0.97",3923,753,1631,4843,2.30235565041105,0,1,0,0.0114386159865527,297.883815,-0.122647938910593,-0.275708464235398
1978,12,"Portage","9978","3963","",NA,0,0,1315,0,99561,16,0,4769,6042,0,50,110422,111753,NA,"0.9",3963,3923,753,1631,3.32730807514432,0,0.945343749161096,0.0546562508389037,0.155830646830044,223.2043036,0.0997824060787278,-0.81704904641967
1979,12,"Portage","3575","2023","",NA,0,0,233,0,51559,0,0,597,303,0,0,52459,52692,NA,"0.98",2023,3963,3923,753,3.25545035392885,0,0.994249601457527,0.00575039854247324,-0.0439901571364943,431.0079915,-0.208033822439427,0.689288733233034
1980,12,"Portage","1800","996","",NA,0,0,675,0,11292,74,0,184,0,0,0,11476,12225,NA,"0.98",996,2023,3963,3923,2.44426591951666,0,0.993946830265849,0.00605316973415133,-0.538785070614508,308.7731516,-0.970246270459972,-0.19677329575163
