"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1950,10,"Birkenhead",64440,"41370","",NA,0,0,13166,0,183919,3756,0,30830,9493,0,1576,225818,242740,242740,"0.85643705",41370,25,3178,1053494,1.7694349312049,0,0.938926423333608,0.061073576666392,-0.696318887195385,179.7949782,-1.09174822236256,-1.05012016424814
1951,10,"Birkenhead",21296,"13590","",NA,0,0,31161,0,107397,1374,0,66404,8861,0,1522,184184,216719,216719,"0.617930852",13590,41370,25,3178,2.76926735535434,0,0.945750026532053,0.054249973467947,-0.215610639135628,294.413004,-0.358866465780747,-0.273047139778964
1952,10,"Birkenhead",47041,"24744","",NA,0,0,14902,0,180787,3107,0,33154,11993,0,735,226669,244678,244678,"0.845032042",24744,13590,41370,25,2.29136002501671,0,0.935282289376241,0.0647177106237586,-0.758611186940596,260.8135208,-1.18671828007024,-0.50084073374981
1953,10,"Birkenhead",42491,"16287","",NA,0,0,8205,0,102206,3835,0,16671,24273,0,953,144103,156143,156143,"0.859762612",16287,24744,13590,41370,2.26040501044247,0,0.813882146493919,0.186117853506081,-0.885940858245885,362.0339953,-1.38084349749236,0.185401240049042
1954,10,"Birkenhead",18213,"8635","",NA,0,0,12671,0,128222,5306,0,17949,10328,0,1228,157727,175704,175704,"0.877205465",8635,16287,24744,13590,3.01297704941381,0,0.904031780722124,0.0959682192778764,-0.0424177207519907,187.0299165,-0.0948187179735309,-1.00106963011628
1955,10,"Birkenhead",14553,"8185","",NA,0,0,35100,0,221160,3522,0,7193,7790,0,5618,241761,280383,280383,"0.968500523",8185,8635,16287,24744,3.53385331482465,0,0.939618307814668,0.0603816921853322,0.441935833576107,240.0020938,0.643620626754533,-0.641935456063632
1956,10,"Birkenhead",49754,"27156","",NA,0,0,20500,0,209127,1874,0,42071,3840,0,1697,256735,279109,279109,"0.832518571",27156,8185,8635,16287,2.3300043700896,0,0.97344764948461,0.02655235051539,1.23768549286874,125.0629748,1.85681056151361,-1.42118538824273
1957,10,"Birkenhead",14536,"7068","",NA,0,0,3587,0,37495,5586,0,5340,21961,0,2394,67190,76363,76363,"0.87533559",7068,27156,8185,8635,2.37992073121348,0,0.607912208792216,0.392087791207784,-0.0476978475493285,182.1236784,-0.102868732962511,-1.03433233249248
1958,10,"Birkenhead",15166,"5510","",NA,0,0,21115,0,74626,3512,0,11443,17844,0,722,104635,129262,129262,"0.867048531",5510,7068,27156,8185,3.15527672924093,0,0.829199610094227,0.170800389905773,-0.0456051704342013,162.859114,-0.0996782637199236,-1.16493982829345
1959,10,"Birkenhead",26159,"11388","",NA,0,0,26205,0,188393,8984,0,36763,7505,0,172,232833,268022,268022,"0.836722095",11388,5510,7068,27156,3.15850889727814,0,0.937837192469275,0.0621628075307251,0.315966853443923,224.2375817,0.451569902002628,-0.748813732943078
1960,10,"Birkenhead",36838,"19198","",NA,0,0,28566,0,119526,3085,0,10607,6980,0,3336,140449,172100,172100,"0.918491082",19198,11388,5510,7068,2.19326959627615,0,0.92213248111563,0.0778675188843695,-0.0862494805743424,146.2015324,-0.161644068406636,-1.27787282660596
1961,10,"Birkenhead",31681,"10550","",NA,0,0,21891,0,67104,3102,0,17364,19054,0,1300,104822,129815,129815,"0.794431027",10550,19198,11388,5510,2.50998450007479,0,0.819312097985595,0.180687902014405,0.395705479645276,205.1036429,0.573138409873547,-0.87853562956053
1962,10,"Birkenhead",26369,"14311","",NA,0,0,21342,0,66117,2725,0,8304,3995,0,8,78424,102491,102491,"0.888418592",14311,10550,19198,11388,1.9687465175166,0,0.934355211677123,0.0656447883228771,-0.697630662683966,161.1151013,-1.09374813879461,-1.17676366851442
