"","X","X5","X25","X40","X60","X75","X90","agent","stock"
"256","b.load_std.Stock.L.Shuswap.",-1.26869591109228,-0.79806225730834,-0.610239971210903,-0.400177244193328,-0.235336338348851,0.0159072263164764,"pa_pse","L.Shuswap"
"257","b.load_std.Stock.L.Stuart.",-0.843417303716891,-0.441599870265706,-0.270005174682506,-0.0851122957150523,0.0967107916483991,0.342819740342752,"pa_pse","L.Stuart"
"258","b.load_std.Stock.Nadina.",-0.770575321062369,-0.391342257632325,-0.219694489495455,-0.00212444141969511,0.177438311310956,0.422381494625213,"pa_pse","Nadina"
"259","b.load_std.Stock.Pitt.",-0.6917016759934,-0.280370566705218,-0.114415141735721,0.108359391672866,0.271565564099687,0.557898112469889,"pa_pse","Pitt"
"260","b.load_std.Stock.Portage.",-1.35638854495093,-0.899270152843062,-0.727044318121913,-0.508731276304403,-0.334607384502984,-0.0855502003985077,"pa_pse","Portage"
"261","b.load_std.Stock.Quesnel.",-1.03100980441301,-0.627855094056165,-0.449482032142259,-0.256792800048833,-0.0897624931484436,0.17414534475152,"pa_pse","Quesnel"
"262","b.load_std.Stock.Raft.",-0.837210280415858,-0.392147535004958,-0.229996602216206,-0.0419567327329997,0.131527901347009,0.376224961968134,"pa_pse","Raft"
"263","b.load_std.Stock.Scotch.",-1.1337286861836,-0.691734589052216,-0.515330682603619,-0.333577732180884,-0.16307965782758,0.100129703668659,"pa_pse","Scotch"
"264","b.load_std.Stock.Seymour.",-1.00355187342025,-0.582821841588513,-0.417125656107088,-0.214586407276036,-0.0551126129351287,0.204369927390365,"pa_pse","Seymour"
"265","b.load_std.Stock.Stellako.",-1.01003034743924,-0.591402846639351,-0.423734146760104,-0.225775186824465,-0.0549772080723026,0.180593860653606,"pa_pse","Stellako"
"266","b.load_std.Stock.Weaver.",-1.63862436506828,-1.16117620427682,-0.956032639969239,-0.718817074877782,-0.524984759983604,-0.220266393075415,"pa_pse","Weaver"
"267","load_std",-0.74691335512292,-0.404585931122295,-0.236111676063849,-0.0603328034768099,0.0721472855614307,0.292354291054023,"pa_ther","Global"
"268","b.load_std.Stock.Birkenhead.",-0.88825896879882,-0.524456064528181,-0.339858030007799,-0.126296004982571,0.0319176219845167,0.262556010937876,"pa_ther","Birkenhead"
"269","b.load_std.Stock.Bowron.",-0.763353272146945,-0.369614517643357,-0.192629942792158,-0.0109311637363607,0.144726004235096,0.383054040106142,"pa_ther","Bowron"
"270","b.load_std.Stock.Chilko.",-0.781372790487135,-0.408340278993725,-0.235710978120796,-0.048585062815776,0.107008841852141,0.344099696799719,"pa_ther","Chilko"
"271","b.load_std.Stock.E.Stuart.",-0.754632129913399,-0.388030768592941,-0.210998953554968,-0.0325300026622356,0.122093314653364,0.372029848688742,"pa_ther","E.Stuart"
"272","b.load_std.Stock.Fennell.",-0.725069371352099,-0.359930428979755,-0.179737783191922,0.00517648624093279,0.149181365113677,0.391415393539638,"pa_ther","Fennell"
"273","b.load_std.Stock.Gates.",-0.960562394589295,-0.55516373561464,-0.373169101808748,-0.160959154625402,0.000683239068266944,0.244128927807287,"pa_ther","Gates"
"274","b.load_std.Stock.Harrison.",-0.947654816087375,-0.551978828346612,-0.37410455242483,-0.17451232736067,-0.00576461011272365,0.261249445978159,"pa_ther","Harrison"
