stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits_psc	total_recruits	prop_4s
L.Stuart	2	1997	907652	415149			0	0	81	0	351715	0	0	79099	0	0	0	430814	430895	430895	0.816396403
L.Stuart	2	1998	138397	67836			0	0	312	0	264390	0	0	12560	0	0	0	276950	277262	277262	0.954648854
L.Stuart	2	1999	61574	33801			0	0	23	0	117520	0	0	16079	0	0	0	133599	133622	133622	0.879647303
L.Stuart	2	2000	454397	226267			0	0	1827	0	868657	0	0	42459	879	0	0	911995	913822	913822	0.953398909
L.Stuart	2	2001	351569	179540			0	0	29	0	415504	0	0	89810	0	0	0	505314	505343	505343	0.822268926
L.Stuart	2	2002	34498	17820			0	0	20	0	121483	0	0	4449	0	0	0	125932	125952	125952	0.96467141
L.Stuart	2	2003	36647	19212			0	0	11	0	15962	0	0	5810	0	0	0	21772	21783	21783	0.733143487
L.Stuart	2	2004	83418	51370			0	0	220	0	263681	0	0	19017	0	0	0	282698	282918	282918	0.932730334
L.Stuart	2	2005	293124	164657			0	0	89	0	104604	0	0	14988	0	0	0	119592	119681	119681	0.874673891
L.Stuart	2	2006	27504	14283			0	0	37	0	169398	0	0	5288	0	0	0	174685	174722	174723	0.969728541
L.Stuart	2	2007	8487	4144			0	0	48	0	5173	0	0	8547	0	0	0	13720	13768	13768	0.377040816
L.Stuart	2	2008	146569	57879			0	0	326	0	183527	0	0	6719	0	0	0	190246	190572	190572	0.964682569
L.Stuart	2	2009	86964	47226			0	0	40	0	218405	0	0	28780	0	0	0	247185	247225	247225	0.883568987
L.Stuart	2	2010	95026	54908			0	0	839	0	284998	0	0	34954	0	0	0	319952	320791	320791	0.890752363
L.Stuart	2	2011	4582	940			0	0	0	0	3688	0	0	255	0	0	0	3943	3943	3943	0.93532843
L.Stuart	2	2012		31771			0	0	0	0	32434	0	0	1954	0	0	0	34388	34388	34388	0.943177853
L.Stuart	2	2013		70946			0	0	1300	0	216144	0	0	13333	0	0	0	229477	230777	230777	0.941898317
L.Stuart	2	2014		27869			0	0	518	0	306928.8597	0	0	14500	0	0	0	321428.8597	321946.8597	321946.8597	0.954888929
L.Stuart	2	2015		4350			0	0	0	0	9500	0	0	4608.433735	0	0	0	14108.43373	14108.43373	14108.43374	0.673356106
L.Stuart	2	2016		4672			0	0	0	0	29391.56627	0	0	5047.278133	0	0	0	29391.56627	29451.56627	34438.8444	0.853442291
Stellako	3	1948	15763	9242			0	0	0	0	185175	0	0	22002	0	0	0	207177	207177	207177	0.893800953
Stellako	3	1949	104720	40228			0	0	133	0	173402	0	0	6341	0	0	0	179743	179876	179876	0.964721853
Stellako	3	1950	145021	77415			0	0	4630	0	903768	0	0	30719	0	0	0	934487	939117	939117	0.967127419
Stellako	3	1951	96076	51413			0	0	26	0	354049	0	0	101292	0	0	0	455341	455367	455367	0.777546937
Stellako	3	1952	40384	19920			0	0	23	0	93984	0	0	16694	0	0	0	110678	110701	110701	0.849166049
Stellako	3	1953	42134	20388			0	0	30	0	156192	0	0	18023	0	0	0	174215	174245	174245	0.89654737
Stellako	3	1954	141859	72273			0	0	3311	0	1140205	0	0	67783	0	0	0	1207988	1211299	1211299	0.943887688
Stellako	3	1955	51739	29937			0	0	28	0	602677	0	0	27091	0	0	0	629768	629796	629796	0.956982571
Stellako	3	1956	38438	22276			0	0	92	0	220400	0	0	26243	0	0	0	246643	246735	246735	0.893599251
Stellako	3	1957	38522	18044			0	0	8	0	143835	0	0	8000	0	0	0	151835	151843	151843	0.947311226
Stellako	3	1958	112251	61581			0	0	1156	0	323089	0	0	16215	0	0	0	339304	340460	340460	0.952210997
Stellako	3	1959	79305	41872			0	0	17	0	514918	0	0	26485	0	0	0	541403	541420	541420	0.951080803
Stellako	3	1960	38880	22718			0	0	19	0	143340	0	0	21155	0	0	0	164495	164514	164514	0.871394267
Stellako	3	1961	46863	18136			0	0	288	0	137046	0	0	10068	0	0	0	147114	147402	147402	0.931563277
Stellako	3	1962	124485	44532			0	0	100	0	572029	0	0	17376	0	0	0	589405	589505	589505	0.970519422
Stellako	3	1963	138794	41535			0	0	977	0	713487	0	0	13462	0	0	0	726949	727926	727926	0.981481507
Stellako	3	1964	30890	16182			0	0	194	0	170674	0	0	6969	0	0	0	177643	177837	177837	0.960769633
Stellako	3	1965	39385	20479			0	0	179	0	231100	0	0	12372	0	0	0	243472	243651	243651	0.949185122
Stellako	3	1966	101529	51509			0	0	833	0	336316	0	0	22757	0	0	0	359073	359906	359906	0.936622915
Stellako	3	1967	91480	32467			0	0	288	0	531886	0	0	18350	0	0	0	550236	550524	550524	0.966650674
Stellako	3	1968	30368	13680			0	0	85	0	125900	0	0	3837	0	0	0	129737	129822	129822	0.970424782
Stellako	3	1969	49211	25629			0	0	131	0	235729	0	0	17385	0	0	0	253114	253245	253245	0.931315534
Stellako	3	1970	45797	26727			0	0	1170	0	228808	0	0	4130	0	0	0	232938	234108	234108	0.98226996
Stellako	3	1971	39691	20147			0	0	496	0	508759	12	0	0	0	0	0	508759	509267	509267	1
Stellako	3	1972	36700	20386			0	0	204	0	711226	0	0	44784	0	0	0	756010	756214	756214	0.940762688
Stellako	3	1973	30404	15424			0	0	11	0	75813	0	0	10077	0	0	0	85890	85901	85901	0.882675515
Stellako	3	1974	41275	23718			0	0	1823	0	281752	13	0	19534	0	0	0	301286	303122	303122	0.935164594
Stellako	3	1975	175941	68451			0	0	3852	0	1832708	0	0	64645	2919	0	0	1900272	1904124	1904124	0.965928849
