"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Quesnel]","-0.574577598145113","-0.223470815187928","-0.0753022224890379","0.0136063682092423","0.229988278631752","ic_hof"
"b[(Intercept) Stock:Raft]","-0.47029270969579","-0.139651706627773","-0.0214278178616602","0.0610883637295344","0.315766356597587","ic_hof"
"b[(Intercept) Stock:Scotch]","-0.371282749902755","-0.0978816849483094","0.000431752705022117","0.0937037553160108","0.369676420687518","ic_hof"
"b[(Intercept) Stock:Seymour]","-0.574611976733245","-0.216663078085566","-0.0659062584282375","0.0170262479198263","0.247788898437147","ic_hof"
"b[(Intercept) Stock:Stellako]","-0.467960075459291","-0.173437298750066","-0.0444148840203398","0.0362678101916758","0.285614213038296","ic_hof"
"b[(Intercept) Stock:Weaver]","-0.515209612621077","-0.175422269203982","-0.0444204822944447","0.0349629841565571","0.259151165764479","ic_hof"
"b[(Intercept) Stock:Birkenhead]","-0.661794466719543","-0.250861079083821","-0.0833235315819175","-1.84772565369761e-05","0.152188052269753","ic_mul"
"b[(Intercept) Stock:Bowron]","-0.644253055470211","-0.226893255618289","-0.0691755247745331","0.00222032092792267","0.166282530861813","ic_mul"
"b[(Intercept) Stock:Chilko]","-0.197283790266642","-0.0132082782719341","0.0471644222505272","0.18224460511347","0.55754199641169","ic_mul"
"b[(Intercept) Stock:E.Stuart]","-0.345538269722103","-0.0658413633902186","0.00177747083493116","0.0857747597458496","0.361613183187071","ic_mul"
"b[(Intercept) Stock:Fennell]","-0.636495965737081","-0.226109780213776","-0.065136996128278","0.00331241160601662","0.174676950360812","ic_mul"
"b[(Intercept) Stock:Gates]","-0.125049970798026","0.00425531047247814","0.102857681898057","0.28119015372975","0.674304160543756","ic_mul"
"b[(Intercept) Stock:Harrison]","-0.116766995667488","0.00465196921144737","0.108891905062073","0.290153279987969","0.6872735301215","ic_mul"
"b[(Intercept) Stock:L.Shuswap]","-0.25388834745908","-0.0273247969268083","0.0280929783527598","0.151530502344458","0.470923150640286","ic_mul"
"b[(Intercept) Stock:L.Stuart]","-0.455849870833117","-0.134268638175616","-0.0240914699946699","0.02982118363318","0.252298786153824","ic_mul"
"b[(Intercept) Stock:Nadina]","-0.230300271750885","-0.0142455824790328","0.0480851229059811","0.178563145955717","0.541341859927393","ic_mul"
"b[(Intercept) Stock:Pitt]","-0.348430448994584","-0.0646066649684624","0.0017976996059052","0.0839904336532128","0.354843584810814","ic_mul"
"b[(Intercept) Stock:Portage]","-0.53029289554589","-0.174975848170908","-0.0459772179208529","0.0134336381265456","0.209705491018777","ic_mul"
"b[(Intercept) Stock:Quesnel]","-0.581004992139184","-0.205041745195039","-0.05700544008375","0.00868167176698185","0.198225005769995","ic_mul"
