"","X","X5","X25","X40","X60","X75","X90","agent","stock"
"117","b.prev_std.Stock.Bowron.",-0.638045377450112,-0.248126959877362,-0.103277197881358,0.0793618478736294,0.229045090763285,0.456260889524267,"ic_hof","Bowron"
"118","b.prev_std.Stock.Chilko.",-0.664124324122051,-0.264852098857487,-0.126015354866756,0.0431231860750927,0.205055572794411,0.443898895932074,"ic_hof","Chilko"
"119","b.prev_std.Stock.E.Stuart.",-0.665321736762776,-0.280568231543815,-0.126978323117061,0.0385897223369276,0.202337358989432,0.431450928605648,"ic_hof","E.Stuart"
"120","b.prev_std.Stock.Fennell.",-0.73077575777652,-0.329686896216573,-0.186151692901033,-0.00559309374513435,0.148142149289494,0.375087349621485,"ic_hof","Fennell"
"121","b.prev_std.Stock.Gates.",-0.713544245898892,-0.304427354026167,-0.147755373361468,0.0284204235332669,0.183477319815205,0.400189667334877,"ic_hof","Gates"
"122","b.prev_std.Stock.Harrison.",-0.676056395464582,-0.296768095214881,-0.144556650580585,0.0351686365761751,0.196778837514938,0.426670946916722,"ic_hof","Harrison"
"123","b.prev_std.Stock.L.Shuswap.",-0.664528157809133,-0.264085186834918,-0.116113776675048,0.0611223228808929,0.211516606295458,0.434386957743189,"ic_hof","L.Shuswap"
"124","b.prev_std.Stock.L.Stuart.",-0.712507976406161,-0.30772150399614,-0.158452695804726,0.0146556311190152,0.170751114463431,0.394846113868327,"ic_hof","L.Stuart"
"125","b.prev_std.Stock.Nadina.",-0.660060267604908,-0.271307425527526,-0.132145602457143,0.0634973926605309,0.219083006182926,0.462213357908057,"ic_hof","Nadina"
"126","b.prev_std.Stock.Pitt.",-0.694873933904841,-0.311116693276642,-0.164131771033216,0.00945748530417886,0.172383088234402,0.391668873153536,"ic_hof","Pitt"
"127","b.prev_std.Stock.Portage.",-0.707515188613204,-0.306956857954072,-0.158473039991016,0.015537651392427,0.167667199262391,0.39286643757324,"ic_hof","Portage"
"128","b.prev_std.Stock.Quesnel.",-0.637752594109337,-0.243201661617176,-0.092343360150935,0.0729982303169931,0.235522855662776,0.459900009939287,"ic_hof","Quesnel"
"129","b.prev_std.Stock.Raft.",-0.696378075157614,-0.27361860584218,-0.130006872815424,0.0443201888850494,0.182507419145916,0.418518132867952,"ic_hof","Raft"
"130","b.prev_std.Stock.Scotch.",-0.737225512145208,-0.311746357437882,-0.165282799179068,-0.000865885525230192,0.148906758333015,0.377742504334685,"ic_hof","Scotch"
"131","b.prev_std.Stock.Seymour.",-0.694278826686589,-0.295479103498587,-0.150163110589478,0.0263355650010808,0.170889433337533,0.406841117830824,"ic_hof","Seymour"
"132","b.prev_std.Stock.Stellako.",-0.728806812118795,-0.358841690734506,-0.195412304849029,-0.0182906216805219,0.134680474827509,0.364922425753528,"ic_hof","Stellako"
"133","b.prev_std.Stock.Weaver.",-0.794974014306234,-0.390428286195601,-0.240286244750774,-0.0582535474270719,0.0954341605756534,0.328408298510692,"ic_hof","Weaver"
"134","prev_std",-1.03599801701189,-0.761912757835764,-0.65786621932577,-0.519901228310258,-0.406896512207225,-0.229527777344637,"ic_mul","Global"
"135","b.prev_std.Stock.Birkenhead.",-1.01556020236896,-0.734741754730133,-0.60255653414217,-0.447112121574595,-0.306888058060084,-0.102653971493672,"ic_mul","Birkenhead"
"136","b.prev_std.Stock.Bowron.",-1.14183330835056,-0.843463237719821,-0.712070223864851,-0.547334521930528,-0.429277765472511,-0.240970600435556,"ic_mul","Bowron"
"137","b.prev_std.Stock.Chilko.",-1.04011689215549,-0.764274259804939,-0.624842207015962,-0.456217561331222,-0.329220831774505,-0.108015373493299,"ic_mul","Chilko"
"138","b.prev_std.Stock.E.Stuart.",-1.05268635039002,-0.749317965566185,-0.629149287989829,-0.470166646518155,-0.352637019409266,-0.13685289219814,"ic_mul","E.Stuart"
"139","b.prev_std.Stock.Fennell.",-1.20886217813762,-0.86441849793995,-0.744406614197214,-0.597436665534364,-0.476510444491657,-0.269882446563341,"ic_mul","Fennell"
"140","b.prev_std.Stock.Gates.",-1.01954019931136,-0.727572139893182,-0.600954635017987,-0.429309074622251,-0.294476045180342,-0.0718765481905618,"ic_mul","Gates"
"141","b.prev_std.Stock.Harrison.",-1.05643646315147,-0.743499712543349,-0.609422724116629,-0.456419548594923,-0.308481342464292,-0.0838700393691643,"ic_mul","Harrison"
"142","b.prev_std.Stock.L.Shuswap.",-1.30276090205308,-0.960565305364069,-0.805414650495417,-0.644707936205833,-0.519089301532792,-0.30645162133365,"ic_mul","L.Shuswap"
"143","b.prev_std.Stock.L.Stuart.",-1.01277680600467,-0.704775824101113,-0.581382910785478,-0.424194869829507,-0.275611982200446,-0.033155046408877,"ic_mul","L.Stuart"
"144","b.prev_std.Stock.Nadina.",-1.09448784628907,-0.791945723785711,-0.662977932374819,-0.508999107240375,-0.365259176344812,-0.164642292510678,"ic_mul","Nadina"
"145","b.prev_std.Stock.Pitt.",-0.965229899768704,-0.656669562426122,-0.530754987511098,-0.358624965906378,-0.206777002969309,0.0224774802486558,"ic_mul","Pitt"
"146","b.prev_std.Stock.Portage.",-1.26236843064983,-0.899231312118532,-0.774384070038215,-0.624398447430601,-0.486457409899054,-0.275417313121035,"ic_mul","Portage"
"147","b.prev_std.Stock.Quesnel.",-1.09580929837997,-0.781485534905848,-0.656664348814057,-0.507552930125217,-0.37916433006687,-0.159624711616533,"ic_mul","Quesnel"
"148","b.prev_std.Stock.Raft.",-1.03489077957809,-0.737483316442147,-0.616122639417285,-0.471482897150082,-0.33210968280567,-0.114732654514406,"ic_mul","Raft"
"149","b.prev_std.Stock.Scotch.",-1.19555911989863,-0.873947814270382,-0.744691565611741,-0.600805130802144,-0.475677363862612,-0.284574213507224,"ic_mul","Scotch"
"150","b.prev_std.Stock.Seymour.",-1.18302501875001,-0.840827318389909,-0.723061329266985,-0.570512371711638,-0.43571325837674,-0.242370622463617,"ic_mul","Seymour"
